new confirmed cases,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb
Wuhan,77,46,80,892,315,356,378,576,894,1033,1242,1967,1766,1501,1985,1378,1921,1552,1104,1985,1330,1001,1548,1690,1600,1660,615,319
Xiaogan,4,29,45,73,101,125,142,87,121,169,202,342,424,255,172,123,105,101,109,88,90,37,87,78,41,24,66,17
Ezhou,1,0,19,37,27,39,66,38,51,28,26,50,41,48,98,67,89,65,71,58,47,46,38,44,65,4,25,5
Suizhou,5,31,16,18,46,27,85,76,80,74,183,65,128,81,38,31,65,46,34,33,38,28,22,13,11,2,8,4
Jingzhou,2,23,14,24,30,50,70,66,46,166,114,100,88,84,56,56,48,30,35,84,22,43,12,11,36,4,12,7
Huanggang,52,58,32,59,111,172,77,153,276,244,176,223,162,90,144,96,115,80,66,77,44,26,6,8,0,16,22,17
Shiyan,4,15,20,25,23,31,31,27,35,44,35,27,35,42,43,29,14,24,31,24,22,12,5,10,14,12,5,13
Yichang,0,19,11,20,12,54,50,109,77,39,60,44,67,47,23,71,45,23,12,26,16,13,0,0,9,3,3,4
Huangshi,0,31,5,17,33,27,55,41,43,82,71,104,57,69,68,50,52,30,39,25,18,21,8,0,2,0,2,7
Xiantao,8,1,1,15,5,23,35,7,43,29,19,37,40,42,52,20,37,22,22,18,20,14,9,8,13,18,5,1
Jingmen,13,17,52,24,28,49,36,24,78,16,55,22,86,45,35,41,12,15,40,81,16,6,7,6,0,1,5,6
Xiangyang,0,2,34,34,61,32,123,61,94,107,84,103,52,51,69,55,57,44,25,13,10,13,16,11,8,2,3,3
Qianjiang,0,0,5,2,1,2,2,15,8,0,9,10,10,10,6,2,3,5,0,4,1,2,50,16,3,0,0,3
Tianmen,3,2,8,10,11,10,23,15,17,16,2,11,10,25,16,18,20,44,32,45,11,8,25,38,15,0,2,4
Enshi,11,6,8,13,13,15,9,12,18,6,12,15,6,13,3,6,21,8,8,7,6,1,3,2,1,0,0,1
Xianning,0,43,21,27,21,18,36,40,40,50,52,36,15,44,33,17,14,8,10,5,15,11,12,9,7,0,2,0
Hefei,4,3,0,3,13,10,11,9,0,16,6,12,11,11,13,8,11,3,7,4,5,2,1,2,2,0,0,1
bengbu,0,0,2,0,0,5,7,1,10,11,6,5,16,24,11,16,11,8,7,5,3,4,4,1,0,1,1,0
Fuyang,5,3,0,11,2,5,10,9,12,6,14,5,11,10,8,5,7,7,6,4,4,4,2,1,1,1,0,0
Bozhou,3,2,0,2,7,5,0,5,5,9,9,10,8,6,9,6,5,0,5,3,6,1,1,0,0,0,0,0
Chengdu,9,6,11,4,9,13,10,3,1,4,10,5,5,5,7,11,3,1,1,6,4,4,1,0,0,1,0,2
Chongqing,30,18,35,22,15,18,41,32,24,38,37,29,23,22,15,20,22,18,19,13,11,8,7,7,2,2,5,7
Changsha,0,10,4,2,22,11,11,18,26,13,23,16,15,11,6,9,8,6,4,5,10,3,0,0,0,0,1,0
Yueyang,2,1,1,10,9,3,8,8,8,17,13,6,4,14,4,4,9,10,12,2,1,4,1,0,1,0,1,0
Nanchang,1,1,4,9,8,21,21,16,6,14,18,13,15,13,6,11,11,6,10,5,7,5,5,1,1,1,0,0
Jiujiang,1,0,2,5,7,15,11,2,12,9,14,8,6,3,2,3,1,0,4,4,5,1,2,0,1,0,0,0
Shangrao,2,4,0,1,2,2,1,4,3,13,18,19,9,8,6,6,5,7,5,3,3,1,0,0,0,0,0,0
Yichun,1,4,1,4,4,0,12,3,2,5,9,3,6,8,5,7,4,6,5,7,6,1,2,2,0,0,0,0
Xinyu,0,0,2,0,8,0,17,12,3,7,9,10,9,9,8,5,5,5,7,4,3,3,2,0,0,0,1,0
Xinyang,4,16,2,6,3,10,7,21,18,11,13,26,26,12,16,13,15,8,3,9,3,9,9,1,4,2,1,1
Zhengzhou,3,12,11,8,3,6,4,6,9,7,13,7,10,10,8,6,4,2,5,4,1,2,4,3,3,2,1,1
Nanyang,8,7,4,7,5,20,10,5,9,8,15,8,4,7,10,5,1,2,2,7,1,4,1,3,1,0,0,0
Zhumadian,2,5,2,1,6,9,5,10,6,12,14,10,16,8,7,3,7,3,2,6,3,1,0,0,1,0,0,0
Xian,0,3,4,3,3,4,10,8,8,8,5,10,4,6,8,8,2,6,6,4,0,0,0,3,0,1,2,0
Hangzhou,6,15,0,5,19,18,16,13,12,8,14,9,10,5,6,3,2,2,2,3,3,1,0,2,0,0,1,0
Ningbo,1,7,0,4,3,21,5,9,11,9,27,18,6,10,5,5,3,2,2,0,0,1,1,1,0,0,0,1
Wenzhou,4,8,14,28,54,58,55,14,24,26,49,24,32,25,17,10,16,10,7,9,6,3,3,1,1,0,0,0
Taizhou,2,1,1,0,18,24,17,14,5,9,6,7,2,5,4,5,3,2,0,1,0,1,1,0,0,0,0,0
Tianjin,3,2,4,9,1,3,4,1,9,7,12,4,2,10,2,7,3,4,11,6,7,1,2,2,1,3,2,1
Shenzhen,5,9,9,13,14,23,24,60,26,30,43,20,25,20,17,13,4,7,11,5,9,6,8,1,1,0,0,0
Guangzhou,7,0,25,12,12,16,27,31,38,14,27,21,18,29,14,6,9,4,6,4,1,7,3,1,0,0,0,0
Haerbin,5,2,0,2,1,2,5,7,9,11,18,10,9,12,6,14,14,18,4,9,5,3,15,6,2,2,2,3
Beijing,14,15,17,12,11,20,21,24,27,29,16,25,21,23,18,11,11,5,10,14,6,3,5,1,6,6,2,1
Shanghai,13,7,13,13,14,21,27,25,24,16,15,25,21,15,12,11,3,7,4,7,5,8,2,3,2,0,0,1
